    number     Model      flag         y         k       L_H       L_L       c_H       c_L       V_H       V_L      V_HL
        10         3         1    0.0662    0.1390    0.1968    0.6463    0.0545    0.0395  382.5478  358.6496    1.0666
        10         3         1    0.0232    0.0280    0.1213    0.6300    0.0364    0.0118  249.5904  199.3187    1.2522
        10         3         1    0.0230    0.0262    0.1219    0.6299    0.0365    0.0118  246.8806  197.0889    1.2526
        10         3         1    0.0222    0.0183    0.1272    0.6288    0.0375    0.0121  221.9916  177.0047    1.2542
        10         3         1    0.0686    0.1374    0.1987    0.6495    0.0559    0.0425  400.9345  379.5255    1.0564
        10         3         1    0.0692    0.1369    0.1991    0.6502    0.0562    0.0432  405.7669  385.0078    1.0539
        10         3         1    0.0698    0.1365    0.1995    0.6509    0.0565    0.0440  410.7007  390.6032    1.0515
        10         3         1    0.0704    0.1361    0.1999    0.6516    0.0568    0.0447  415.7398  396.3159    1.0490
        10         3         1    0.0710    0.1356    0.2003    0.6523    0.0571    0.0455  420.8883  402.1503    1.0466
        10         3         1    0.0716    0.1352    0.2006    0.6530    0.0574    0.0462  426.1505  408.1108    1.0442
        10         3         1    0.0722    0.1347    0.2010    0.6536    0.0577    0.0470  431.5306  414.2023    1.0418
        10         3         1    0.0728    0.1343    0.2013    0.6542    0.0580    0.0478  437.0333  420.4298    1.0395
        10         3         1    0.0734    0.1338    0.2016    0.6548    0.0583    0.0485  442.6635  426.7985    1.0372
        10         3         1    0.0740    0.1334    0.2019    0.6554    0.0585    0.0493  448.4261  433.3139    1.0349
        10         3         1    0.0746    0.1329    0.2022    0.6560    0.0588    0.0501  454.3265  439.9818    1.0326
        10         3         1    0.0752    0.1324    0.2024    0.6565    0.0591    0.0509  460.3702  446.8083    1.0304
        10         3         1    0.0758    0.1319    0.2027    0.6571    0.0594    0.0517  466.5629  453.7997    1.0281
        10         3         1    0.0764    0.1314    0.2029    0.6576    0.0596    0.0525  472.9109  460.9628    1.0259
        10         3         1    0.0770    0.1310    0.2031    0.6581    0.0599    0.0532  479.4205  468.3045    1.0237
        10         3         1    0.0776    0.1305    0.2033    0.6587    0.0601    0.0540  486.0986  475.8324    1.0216
        10         3         1    0.0782    0.1300    0.2035    0.6592    0.0604    0.0548  492.9521  483.5542    1.0194
        10         3         1    0.0788    0.1295    0.2037    0.6596    0.0606    0.0556  499.9886  491.4782    1.0173
        10         3         1    0.0794    0.1290    0.2038    0.6601    0.0609    0.0564  507.2161  499.6131    1.0152
        10         3         1    0.0800    0.1285    0.2040    0.6606    0.0611    0.0573  514.6429  507.9680    1.0131
        10         3         1    0.0806    0.1280    0.2041    0.6610    0.0614    0.0581  522.2778  516.5528    1.0111
        10         3         1    0.0812    0.1275    0.2042    0.6615    0.0616    0.0589  530.1301  525.3777    1.0090
        10         3         1    0.0818    0.1270    0.2044    0.6619    0.0618    0.0597  538.2098  534.4537    1.0070
        10         3         1    0.0824    0.1264    0.2045    0.6623    0.0621    0.0605  546.5273  543.7921    1.0050
        10         3         1    0.0830    0.1259    0.2046    0.6627    0.0623    0.0613  555.0936  553.4054    1.0031
        10         3         1    0.0837    0.1254    0.2046    0.6631    0.0625    0.0622  563.9207  563.3064    1.0011
