    number     Model      flag        RD         g       g_N       g_I      g_hH      g_hL       p_N       p_I     eps_N     eps_I
         2         3         1    0.0221    0.0274    0.0240    0.0240    0.0034    0.0034    1.1397    0.7532    0.0132    0.0087
         2         3         1    0.0222    0.0278    0.0244    0.0244    0.0034    0.0034    1.1321    0.7481    0.0134    0.0089
         2         3         1    0.0224    0.0281    0.0247    0.0247    0.0034    0.0034    1.1246    0.7432    0.0136    0.0090
         2         3         1    0.0226    0.0284    0.0251    0.0251    0.0033    0.0033    1.1173    0.7383    0.0139    0.0092
         2         3         1    0.0228    0.0288    0.0255    0.0255    0.0033    0.0033    1.1100    0.7335    0.0141    0.0093
         2         3         1    0.0229    0.0291    0.0258    0.0258    0.0033    0.0033    1.1030    0.7289    0.0143    0.0095
         2         3         1    0.0705    0.0310    0.0276    0.0276    0.0034    0.0034   -0.1780    2.0886    0.0154    0.0102
         2         3         1    0.0233    0.0298    0.0265    0.0265    0.0033    0.0033    1.0892    0.7198    0.0148    0.0097
         2         3         1    0.0234    0.0301    0.0269    0.0269    0.0033    0.0033    1.0825    0.7153    0.0150    0.0099
         2         3         1    0.0643    0.0294    0.0260    0.0260    0.0034    0.0034    1.1642    0.6811    0.0144    0.0095
         2         3         1    0.0678    0.0300    0.0266    0.0266    0.0034    0.0034    0.8883    1.0021    0.0148    0.0098
         2         3         1    0.0698    0.0303    0.0268    0.0268    0.0034    0.0034    0.9589    0.9058    0.0149    0.0099
         2         3         1    0.0701    0.0300    0.0266    0.0266    0.0034    0.0034    1.0228    0.8606    0.0148    0.0098
         2         3         1    0.0722    0.0304    0.0270    0.0270    0.0034    0.0034    1.0612    0.7910    0.0150    0.0099
         2         3         1    0.0244    0.0322    0.0290    0.0290    0.0032    0.0032    1.0443    0.6901    0.0163    0.0108
         2         3         1    0.0756    0.0305    0.0271    0.0271    0.0034    0.0034    1.0700    0.7952    0.0151    0.0100
         2         3         1    0.0774    0.0303    0.0269    0.0269    0.0034    0.0034    1.0814    0.8092    0.0150    0.0099
